fecha_venta,sucursal,codigo_articulo,producto,precio_venta,cantidad
2022-05-06,IPSFA,000386,HUEVOS A GRANEL,21.84,653
2022-05-06,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.9,122
2022-05-07,ACARIGUA,000386,HUEVOS A GRANEL,21.94,173
2022-05-07,CAGUA,001973,MARGARINA 500GR MAVESA.,10.95,241
2022-05-08,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.94,70
2022-05-08,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.95,103
2022-05-08,IPSFA,001973,MARGARINA 500GR MAVESA.,10.95,185
2022-05-08,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.95,154
2022-05-10,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.95,57
2022-05-10,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.95,148
2022-05-10,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.95,115
2022-05-11,MATURIN PLAZA,001973,MARGARINA 500GR MAVESA.,11.02,14
2022-03-15,IPSFA,000386,HUEVOS A GRANEL,19.46,723
2022-03-16,SAN BERNARDINO,000386,HUEVOS A GRANEL,19.6,475
2022-03-19,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.01,179
2022-03-20,SAN BERNARDINO,000386,HUEVOS A GRANEL,19.78,497
2022-03-20,CAGUA,001973,MARGARINA 500GR MAVESA.,9.01,219
2022-03-21,CAGUA,001973,MARGARINA 500GR MAVESA.,9.01,115
2022-03-22,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,8.99,170
2022-03-22,GUARENAS,001973,MARGARINA 500GR MAVESA.,8.99,115
2022-03-22,IPSFA,001973,MARGARINA 500GR MAVESA.,8.99,259
2022-03-23,IPSFA,001973,MARGARINA 500GR MAVESA.,9.01,208
2022-03-25,CAGUA,000386,HUEVOS A GRANEL,19.92,203
2022-03-25,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.07,161
2022-03-26,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.11,191
2022-03-27,CAGUA,000386,HUEVOS A GRANEL,20.01,227
2022-03-28,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.11,162
2022-04-03,GUARENAS,000386,HUEVOS A GRANEL,20.24,365
2022-04-03,CAGUA,001973,MARGARINA 500GR MAVESA.,9.22,285
2022-04-05,ACARIGUA,000386,HUEVOS A GRANEL,20.24,67
2022-04-05,GUARENAS,000386,HUEVOS A GRANEL,20.24,251
2022-04-05,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.2419,1
2022-04-07,ACARIGUA,000386,HUEVOS A GRANEL,21.12,96
2022-04-07,GUARENAS,000386,HUEVOS A GRANEL,21.12,239
2022-04-07,IPSFA,000386,HUEVOS A GRANEL,21.12,1325
2022-04-08,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.24,309
2022-04-09,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.43,92
2022-04-10,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.17,597
2022-04-10,CAGUA,001973,MARGARINA 500GR MAVESA.,10.43,206
2022-04-11,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.17,539
2022-04-14,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.48,168
2022-04-15,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.27,359
2022-04-16,CAGUA,001973,MARGARINA 500GR MAVESA.,10.48,119
2022-04-17,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.48,128
2022-04-17,CAGUA,001973,MARGARINA 500GR MAVESA.,10.48,120
2022-04-17,IPSFA,001973,MARGARINA 500GR MAVESA.,10.48,210
2022-04-18,CAGUA,000386,HUEVOS A GRANEL,21.27,242
2022-04-18,IPSFA,001973,MARGARINA 500GR MAVESA.,10.48,248
2022-04-23,ACARIGUA,000386,HUEVOS A GRANEL,21.27,116
2022-04-24,BARQUISIMETO,000386,HUEVOS A GRANEL,21.27,215
2022-04-26,GUARENAS,000386,HUEVOS A GRANEL,21.27,238
2022-04-26,IPSFA,000386,HUEVOS A GRANEL,21.27,555
2022-04-26,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.48,130
